Category Id,Total Sales,Total Quantity Sold,Total Revenue,Average Price
2,79.98999786,1,78.38999939,78.38999939
3,659.89002608,11,622.09002303,56.553638457272726
4,999.9899902,1,989.9899902,989.9899902
6,359.91999810000004,8,301.4300079,37.6787509875
9,20597.9401324,206,19256.0101243,93.47577730242718
11,524.8499907,15,506.4799956,33.76533304
12,559.8900146,7,427.60999303,61.08714186142857
13,742.79000082,21,706.90998839,33.662380399523805
16,499.9500122,5,464.9500122,92.99000244
17,9898.35022708,165,9178.39017844,55.62660714206061
18,4679.640198,36,4381.9399416,121.72055393333332
24,14050.0,281,12264.5,43.645907473309606
26,464.98000336,13,429.48000343,33.036923340769235
29,5668.62007066,143,5016.6700666100005,35.08160885741259
36,39.97999954,2,35.97999954,17.98999977
37,1183.68999082,31,1069.32000359,34.494193664193546
38,449.9500122,5,395.9599915,79.1919983
40,799.6799887,32,742.5799978800001,23.205624933750002
41,453.75,25,402.49000168,16.0996000672
43,599.960022,2,590.960022,295.480011
44,299.8999938,10,244.4199982,24.44199982
62,5876.5201105,13,5261.7499696,404.7499976615385
64,6000.0,4,5377.5,1344.375
65,3034.5600587999998,12,2728.569992,227.3808326666667
66,922.960022,2,865.2799987999999,432.63999939999997
70,210.8500061,1,191.8699951,191.8699951
73,47196.0,144,42410.8806152,294.52000427222225
76,1079.1000365,5,1007.8700256,201.57400511999998
